Altium Designer Pick and Place Locations
C:\Users\Nina Diringer\repos\uz_per_loopback_tutorial\Project Outputs for UZ_PER_loopback_tutorial\ProjectRevision\Pick Place\Pick_and_Place_UZ_PER_loopback_tutorial_[No Variations]_Rev01.csv

========================================================================================================================
File Design Information:

Date:       17.08.22
Time:       11:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"LPF8_C2","C_0603","78.0673","78.0673","26.6500","26.6500","77.3673","26.6500","0","0.1 µF","TopLayer"
"LPF8_C1","C_0603","75.7360","75.7360","24.3005","24.3005","75.7360","23.6005","90","1 µF","TopLayer"
"LPF7_C2","C_0603","71.1720","71.1720","26.7245","26.7245","70.4720","26.7245","0","0.1 µF","TopLayer"
"LPF7_C1","C_0603","68.8407","68.8407","24.3750","24.3750","68.8407","23.6750","90","1 µF","TopLayer"
"LPF6_C2","C_0603","64.2767","64.2767","26.7245","26.7245","63.5766","26.7245","0","0.1 µF","TopLayer"
"LPF6_C1","C_0603","61.9453","61.9454","24.3750","24.3750","61.9454","23.6750","90","1 µF","TopLayer"
"LPF5_C2","C_0603","57.3813","57.3813","26.7245","26.7245","56.6813","26.7245","0","0.1 µF","TopLayer"
"LPF5_C1","C_0603","55.0500","55.0500","24.3750","24.3750","55.0500","23.6750","90","1 µF","TopLayer"
"LPF4_C2","C_0603","78.0952","78.0952","17.7936","17.7936","77.3952","17.7936","0","0.1 µF","TopLayer"
"LPF4_C1","C_0603","75.7639","75.7639","15.4441","15.4441","75.7639","14.7441","90","1 µF","TopLayer"
"LPF3_C2","C_0603","71.1885","71.1885","17.7936","17.7936","70.4885","17.7936","0","0.1 µF","TopLayer"
"LPF3_C1","C_0603","68.8572","68.8572","15.4441","15.4442","68.8572","14.7442","90","1 µF","TopLayer"
"LPF2_C2","C_0603","64.2817","64.2817","17.7936","17.7936","63.5817","17.7936","0","0.1 µF","TopLayer"
"LPF2_C1","C_0603","61.9504","61.9505","15.4441","15.4441","61.9505","14.7441","90","1 µF","TopLayer"
"LPF1_C2","C_0603","57.3750","57.3750","17.7936","17.7936","56.6750","17.7936","0","0.1 µF","TopLayer"
"LPF1_C1","C_0603","55.0437","55.0437","15.4441","15.4441","55.0437","14.7441","90","1 µF","TopLayer"
"X1","IPL1-115-01-YYY-D-K","30.8900","30.8900","93.6700","93.6700","48.6700","92.4000","180","IPL1-115-01-L-D-K","TopLayer"
"LED_G12_D6","LEDM2012X80N","50.3742","50.3742","20.1250","20.1250","50.3742","21.1750","270","NCD0805B2","TopLayer"
"LED_G11_D6","LEDM2012X80N","46.2183","46.2183","20.1500","20.1500","46.2183","19.0999","90","NCD0805B2","TopLayer"
"LED_G10_D6","LEDM2012X80N","42.2711","42.2712","20.1750","20.1750","42.2712","21.2250","270","NCD0805B2","TopLayer"
"LED_G9_D6","LEDM2012X80N","38.0902","38.0902","20.1499","20.1499","38.0902","19.0999","90","NCD0805B2","TopLayer"
"LED_G8_D6","LEDM2012X80N","34.1711","34.1711","20.1750","20.1750","34.1711","21.2250","270","NCD0805B2","TopLayer"
"LED_G7_D6","LEDM2012X80N","29.9901","29.9901","20.1499","20.1499","29.9901","19.0999","90","NCD0805B2","TopLayer"
"LED_G6_D6","LEDM2012X80N","26.1491","26.1491","20.1750","20.1750","26.1491","21.2250","270","NCD0805B2","TopLayer"
"LED_G5_D6","LEDM2012X80N","21.9571","21.9571","20.1500","20.1500","21.9571","19.1000","90","NCD0805B2","TopLayer"
"LED_G4_D6","LEDM2012X80N","18.0740","18.0740","20.1750","20.1750","18.0740","21.2250","270","NCD0805B2","TopLayer"
