Altium Designer Pick and Place Locations
C:\Users\johan\elsys\uz_per_loopback_tutorial\Project Outputs for UZ_PER_loopback_tutorial\ProjectRevision\Pick Place\Pick_and_Place_UZ_PER_loopback_tutorial_[No Variations]_Rev02.csv

========================================================================================================================
File Design Information:

Date:       07.04.26
Time:       13:32
Revision:   5e2a88d501dd0a817ec4b7daf9180c5261f05737
Variant:    No variations
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"LPF5_C2","C_0603","48.6500","48.6500","24.0000","24.0000","48.6500","23.3000","90","100 nF","TopLayer"
"LPF5_C1","C_0603","45.6500","45.6500","24.0000","24.0000","45.6500","23.3000","90","1 µF","TopLayer"
"LPF4_C2","C_0603","63.6500","63.6500","32.0000","32.0000","63.6500","31.3000","90","100 nF","TopLayer"
"LPF4_C1","C_0603","60.6500","60.6500","32.0000","32.0000","60.6500","31.3000","90","1 µF","TopLayer"
"LPF3_C2","C_0603","48.6500","48.6500","39.5000","39.5000","48.6500","38.8000","90","100 nF","TopLayer"
"LPF3_C1","C_0603","45.6500","45.6500","39.5000","39.5000","45.6500","38.8000","90","1 µF","TopLayer"
"LPF2_C2","C_0603","63.6500","63.6500","47.5000","47.5000","63.6500","46.8000","90","100 nF","TopLayer"
"LPF2_C1","C_0603","60.6500","60.6500","47.5000","47.5000","60.6500","46.8000","90","1 µF","TopLayer"
"LPF1_C2","C_0603","48.6500","48.6500","55.5000","55.5000","48.6500","54.8000","90","100 nF","TopLayer"
"LPF1_C1","C_0603","45.6500","45.6500","55.5000","55.5000","45.6500","54.8000","90","1 µF","TopLayer"
"LPF0_C2","C_0603","63.6500","63.6500","63.5000","63.5000","63.6500","62.8000","90","100 nF","TopLayer"
"LPF0_C1","C_0603","60.6500","60.6500","63.5000","63.5000","60.6500","62.8000","90","1 µF","TopLayer"
"X1","IPL1-115-01-YYY-D-K","5.7300","5.7300","49.5600","49.5600","7.0000","67.3400","270","IPL1-115-01-L-D-K","TopLayer"
"R10","RES_0603_1608","58.3000","58.3000","86.0000","86.0000","58.3000","85.3500","90","4k3","TopLayer"
"LPF5_R2","RES_0603_1608","48.0000","48.0000","26.5000","26.5000","47.3500","26.5000","0","10k","TopLayer"
"LPF5_R1","RES_0603_1608","45.0000","45.0000","26.5000","26.5000","44.3500","26.5000","0","1k","TopLayer"
"LPF4_R2","RES_0603_1608","63.0000","63.0000","34.5000","34.5000","62.3500","34.5000","0","10k","TopLayer"
"LPF4_R1","RES_0603_1608","60.0000","60.0000","34.5000","34.5000","59.3500","34.5000","0","1k","TopLayer"
"LPF3_R2","RES_0603_1608","48.0000","48.0000","42.0000","42.0000","47.3500","42.0000","0","10k","TopLayer"
"LPF3_R1","RES_0603_1608","45.0000","45.0000","42.0000","42.0000","44.3500","42.0000","0","1k","TopLayer"
"LPF2_R2","RES_0603_1608","63.0000","63.0000","50.0000","50.0000","62.3500","50.0000","0","10k","TopLayer"
"LPF2_R1","RES_0603_1608","60.0000","60.0000","50.0000","50.0000","59.3500","50.0000","0","1k","TopLayer"
"LPF1_R2","RES_0603_1608","48.0000","48.0000","58.0000","58.0000","47.3500","58.0000","0","10k","TopLayer"
"LPF1_R1","RES_0603_1608","45.0000","45.0000","58.0000","58.0000","44.3500","58.0000","0","1k","TopLayer"
"LPF0_R2","RES_0603_1608","63.0000","63.0000","66.0000","66.0000","62.3500","66.0000","0","10k","TopLayer"
"LPF0_R1","RES_0603_1608","60.0000","60.0000","66.0000","66.0000","59.3500","66.0000","0","1k","TopLayer"
"R14","RES_0603_1608","82.3000","82.3000","86.0000","86.0000","82.3000","85.3500","90","4k3","TopLayer"
"R13","RES_0603_1608","79.7000","79.7000","84.0000","84.0000","79.7000","84.6500","270","2k2","TopLayer"
"R12","RES_0603_1608","70.3000","70.3000","86.0000","86.0000","70.3000","85.3500","90","4k3","TopLayer"
"R11","RES_0603_1608","67.7000","67.7000","84.0000","84.0000","67.7000","84.6500","270","2k2","TopLayer"
"R9","RES_0603_1608","55.7000","55.7000","84.0000","84.0000","55.7000","84.6500","270","2k2","TopLayer"
"R8","RES_0603_1608","46.3000","46.3000","86.0000","86.0000","46.3000","85.3500","90","4k3","TopLayer"
"R7","RES_0603_1608","43.7000","43.7000","84.0000","84.0000","43.7000","84.6500","270","2k2","TopLayer"
"R6","RES_0603_1608","34.3000","34.3000","86.0000","86.0000","34.3000","85.3500","90","4k3","TopLayer"
"R5","RES_0603_1608","31.7000","31.7000","84.0000","84.0000","31.7000","84.6500","270","2k2","TopLayer"
"R4","RES_0603_1608","22.3000","22.3000","86.0000","86.0000","22.3000","85.3500","90","4k3","TopLayer"
"R3","RES_0603_1608","19.7000","19.7000","84.0000","84.0000","19.7000","84.6500","270","2k2","TopLayer"
"R0","RES_0603_1608","7.0000","7.0000","79.0069","79.0069","7.0000","79.6569","270","24k9","TopLayer"
"X3","RJHSE-5380-02","93.7040","91.5450","35.2740","49.4980","91.1640","45.1800","90","","TopLayer"
"Serial1","SERIAL","53.4945","-14.3750","8.1170","-22.2000","-14.3750","-22.2000","0","Serial #","TopLayer"
"T6","SOT95P280X145-3N","81.0000","81.0000","92.0000","92.0000","82.3000","91.0500","180","MMBT3904","TopLayer"
